Instance name, X location, Y location, Voltage
_067_, 21.84, 51.68, 1.8
output24, 21.84, 51.68, 1.8
output25, 21.84, 51.68, 1.8
output28, 21.84, 51.68, 1.8
FILLER_0_14_29, 21.84, 51.68, 1.8
_063_, 21.84, 46.24, 1.8
_069_, 21.84, 46.24, 1.8
_076_, 21.84, 46.24, 1.8
fanout33, 21.84, 46.24, 1.8
_079_, 21.84, 40.8, 1.8
_080_, 21.84, 40.8, 1.8
_108_, 21.84, 40.8, 1.8
hold4, 21.84, 40.8, 1.8
_047_, 21.84, 35.36, 1.8
_081_, 21.84, 35.36, 1.8
_109_, 21.84, 35.36, 1.8
FILLER_0_8_29, 21.84, 35.36, 1.8
_048_, 21.84, 29.92, 1.8
_082_, 21.84, 29.92, 1.8
_085_, 21.84, 29.92, 1.8
clkbuf_0_osc_ck, 21.84, 29.92, 1.8
FILLER_0_8_39, 21.84, 29.92, 1.8
_051_, 21.84, 24.48, 1.8
_089_, 21.84, 24.48, 1.8
_091_, 21.84, 24.48, 1.8
hold2, 21.84, 24.48, 1.8
_087_, 21.84, 19.04, 1.8
_090_, 21.84, 19.04, 1.8
_112_, 21.84, 19.04, 1.8
_056_, 21.84, 13.6, 1.8
_057_, 21.84, 13.6, 1.8
input7, 21.84, 13.6, 1.8
input8, 21.84, 13.6, 1.8
output15, 21.84, 13.6, 1.8
FILLER_0_1_27, 21.84, 13.6, 1.8
FILLER_0_1_44, 21.84, 13.6, 1.8
PHY_EDGE_ROW_14_Left_30, 5.52, 51.68, 1.8
PHY_EDGE_ROW_15_Left_31, 5.52, 51.68, 1.8
input11, 5.52, 51.68, 1.8
FILLER_0_15_3, 5.52, 51.68, 1.8
PHY_EDGE_ROW_14_Right_14, 50.14, 51.68, 1.8
PHY_EDGE_ROW_15_Right_15, 50.14, 51.68, 1.8
input12, 13.68, 51.68, 1.8
output26, 13.68, 51.68, 1.8
_068_, 31.273, 51.68, 1.8
output29, 31.273, 51.68, 1.8
output30, 31.273, 51.68, 1.8
output31, 31.273, 51.68, 1.8
input10, 40.706, 51.68, 1.8
output27, 40.706, 51.68, 1.8
FILLER_0_14_69, 40.706, 51.68, 1.8
FILLER_0_15_85, 40.706, 51.68, 1.8
PHY_EDGE_ROW_12_Left_28, 5.52, 46.24, 1.8
PHY_EDGE_ROW_13_Left_29, 5.52, 46.24, 1.8
PHY_EDGE_ROW_12_Right_12, 50.14, 46.24, 1.8
PHY_EDGE_ROW_13_Right_13, 50.14, 46.24, 1.8
_064_, 13.68, 46.24, 1.8
_065_, 13.68, 46.24, 1.8
FILLER_0_13_15, 13.68, 46.24, 1.8
_066_, 31.273, 46.24, 1.8
_070_, 31.273, 46.24, 1.8
FILLER_0_14_79, 40.706, 46.24, 1.8
FILLER_0_14_85, 40.706, 46.24, 1.8
PHY_EDGE_ROW_10_Left_26, 5.52, 40.8, 1.8
PHY_EDGE_ROW_11_Left_27, 5.52, 40.8, 1.8
input3, 5.52, 40.8, 1.8
FILLER_0_11_3, 5.52, 40.8, 1.8
PHY_EDGE_ROW_10_Right_10, 50.14, 40.8, 1.8
PHY_EDGE_ROW_11_Right_11, 50.14, 40.8, 1.8
input6, 50.14, 40.8, 1.8
output23, 50.14, 40.8, 1.8
_078_, 13.68, 40.8, 1.8
_107_, 13.68, 40.8, 1.8
FILLER_0_12_19, 13.68, 40.8, 1.8
_046_, 31.273, 40.8, 1.8
_077_, 31.273, 40.8, 1.8
_100_, 31.273, 40.8, 1.8
_102_, 31.273, 40.8, 1.8
_115_, 31.273, 40.8, 1.8
_117_, 31.273, 40.8, 1.8
FILLER_0_11_52, 31.273, 40.8, 1.8
_097_, 40.706, 40.8, 1.8
_098_, 40.706, 40.8, 1.8
_101_, 40.706, 40.8, 1.8
_103_, 40.706, 40.8, 1.8
_104_, 40.706, 40.8, 1.8
FILLER_0_12_85, 40.706, 40.8, 1.8
_106_, 5.52, 35.36, 1.8
PHY_EDGE_ROW_8_Left_24, 5.52, 35.36, 1.8
PHY_EDGE_ROW_9_Left_25, 5.52, 35.36, 1.8
FILLER_0_10_3, 5.52, 35.36, 1.8
PHY_EDGE_ROW_8_Right_8, 50.14, 35.36, 1.8
PHY_EDGE_ROW_9_Right_9, 50.14, 35.36, 1.8
output22, 50.14, 35.36, 1.8
_075_, 13.68, 35.36, 1.8
_083_, 13.68, 35.36, 1.8
FILLER_0_8_15, 13.68, 35.36, 1.8
FILLER_0_9_15, 13.68, 35.36, 1.8
_053_, 31.273, 35.36, 1.8
_096_, 31.273, 35.36, 1.8
FILLER_0_9_49, 31.273, 35.36, 1.8
_043_, 40.706, 35.36, 1.8
_099_, 40.706, 35.36, 1.8
_116_, 40.706, 35.36, 1.8
PHY_EDGE_ROW_6_Left_22, 5.52, 29.92, 1.8
PHY_EDGE_ROW_7_Left_23, 5.52, 29.92, 1.8
FILLER_0_7_3, 5.52, 29.92, 1.8
PHY_EDGE_ROW_6_Right_6, 50.14, 29.92, 1.8
PHY_EDGE_ROW_7_Right_7, 50.14, 29.92, 1.8
input2, 50.14, 29.92, 1.8
_086_, 13.68, 29.92, 1.8
_110_, 13.68, 29.92, 1.8
_118__34, 13.68, 29.92, 1.8
FILLER_0_7_15, 13.68, 29.92, 1.8
_074_, 31.273, 29.92, 1.8
_084_, 31.273, 29.92, 1.8
_094_, 31.273, 29.92, 1.8
fanout32, 31.273, 29.92, 1.8
clkbuf_1_1__f_osc_ck, 31.273, 29.92, 1.8
hold3, 31.273, 29.92, 1.8
_052_, 40.706, 29.92, 1.8
_054_, 40.706, 29.92, 1.8
_073_, 40.706, 29.92, 1.8
FILLER_0_7_69, 40.706, 29.92, 1.8
FILLER_0_7_77, 40.706, 29.92, 1.8
_118_, 5.52, 24.48, 1.8
_119__35, 5.52, 24.48, 1.8
PHY_EDGE_ROW_4_Left_20, 5.52, 24.48, 1.8
PHY_EDGE_ROW_5_Left_21, 5.52, 24.48, 1.8
FILLER_0_5_3, 5.52, 24.48, 1.8
PHY_EDGE_ROW_4_Right_4, 50.14, 24.48, 1.8
PHY_EDGE_ROW_5_Right_5, 50.14, 24.48, 1.8
clkbuf_1_0__f_osc_ck, 13.68, 24.48, 1.8
hold1, 13.68, 24.48, 1.8
_049_, 31.273, 24.48, 1.8
_050_, 31.273, 24.48, 1.8
_092_, 31.273, 24.48, 1.8
_095_, 31.273, 24.48, 1.8
_114_, 31.273, 24.48, 1.8
_071_, 40.706, 24.48, 1.8
_093_, 40.706, 24.48, 1.8
_121_, 40.706, 24.48, 1.8
input5, 40.706, 24.48, 1.8
_120_, 5.52, 19.04, 1.8
PHY_EDGE_ROW_2_Left_18, 5.52, 19.04, 1.8
PHY_EDGE_ROW_3_Left_19, 5.52, 19.04, 1.8
input1, 5.52, 19.04, 1.8
FILLER_0_3_6, 5.52, 19.04, 1.8
_044_, 50.14, 19.04, 1.8
PHY_EDGE_ROW_2_Right_2, 50.14, 19.04, 1.8
PHY_EDGE_ROW_3_Right_3, 50.14, 19.04, 1.8
output13, 50.14, 19.04, 1.8
_045_, 13.68, 19.04, 1.8
_088_, 13.68, 19.04, 1.8
_105_, 13.68, 19.04, 1.8
_111_, 13.68, 19.04, 1.8
FILLER_0_3_16, 13.68, 19.04, 1.8
_113_, 31.273, 19.04, 1.8
FILLER_0_3_48, 31.273, 19.04, 1.8
_055_, 40.706, 19.04, 1.8
_072_, 40.706, 19.04, 1.8
input4, 40.706, 19.04, 1.8
FILLER_0_2_74, 40.706, 19.04, 1.8
FILLER_0_3_81, 40.706, 19.04, 1.8
_119_, 5.52, 13.6, 1.8
PHY_EDGE_ROW_0_Left_16, 5.52, 13.6, 1.8
PHY_EDGE_ROW_1_Left_17, 5.52, 13.6, 1.8
PHY_EDGE_ROW_0_Right_0, 50.14, 13.6, 1.8
PHY_EDGE_ROW_1_Right_1, 50.14, 13.6, 1.8
output14, 50.14, 13.6, 1.8
output17, 50.14, 13.6, 1.8
FILLER_0_0_91, 50.14, 13.6, 1.8
output16, 13.68, 13.6, 1.8
FILLER_0_0_15, 13.68, 13.6, 1.8
FILLER_0_2_23, 13.68, 13.6, 1.8
_059_, 31.273, 13.6, 1.8
_060_, 31.273, 13.6, 1.8
_061_, 31.273, 13.6, 1.8
input9, 31.273, 13.6, 1.8
FILLER_0_2_62, 31.273, 13.6, 1.8
_058_, 40.706, 13.6, 1.8
_062_, 40.706, 13.6, 1.8
output18, 40.706, 13.6, 1.8
output19, 40.706, 13.6, 1.8
output20, 40.706, 13.6, 1.8
output21, 40.706, 13.6, 1.8
FILLER_0_1_85, 40.706, 13.6, 1.8
FILLER_0_2_85, 40.706, 13.6, 1.8

